date,time,ticker,name,platform,login,followers,live_viewers,total_views,hours_live_since_jul15,clips_since_jul15,clip_views_since_jul15
2026-07-14,19:14,XSCAPE,"XscapeVerse",twitch,xscapeverse,2547,,,0,0,0
2026-07-14,19:14,YABOYY,"Yaboyywill",twitch,yaboyywill,610,,,0,0,0
2026-07-14,19:14,YUGI2X,"Yugi2x",twitch,yugi2x,330201,,,0,0,0
2026-07-14,19:14,MARLEA,"Marlea",twitch,marlea,49965,,,0,0,0
2026-07-14,19:14,DAVIS,"Davis",twitch,davis,513234,,,0,0,0
2026-07-14,19:14,AMBERR,"AmberrTyson",twitch,amberrtyson,30502,,,0,0,0
2026-07-14,19:14,EDWARD,"Edwardkso",twitch,edwardkso,104056,,,0,0,0
2026-07-14,19:14,LAILAS,"Laila Simone",twitch,lailasimone,0,,,0,0,0
2026-07-14,19:14,LANIAL,"Lanializa",twitch,lanializa,22853,,,0,0,0
2026-07-14,19:14,DCTHAD,"DCTHADESIGNER",twitch,dcthadesigner,3833,,,0,0,0
2026-07-14,19:14,CATRNA,"Catrnado",twitch,catrnado,27600,,,0,0,0
2026-07-14,19:14,CHAKRA,"ChakraShooter",twitch,chakrashooter,17061,,,0,0,0
2026-07-14,19:14,NOTQUI,"NotQuiteLikeDub",twitch,notquitelikedub,272689,,,0,0,0
2026-07-14,19:14,RAPHAE,"Raphael Solo Live",twitch,raphaelsololive,29231,,,0,0,0
2026-07-14,19:14,RIZZ,"Rizz",twitch,rizz,741,,,0,0,0
2026-07-14,19:14,RAWDOG,"Rawdogmoon",twitch,rawdogmoon,155036,,,0,0,0
2026-07-14,19:14,NAIJA,"Queen Naija",youtube,@QueenNaija,5200000,,1572692811,,,
2026-07-14,19:14,CNYC,"Clarence NYC",youtube,@ClarenceNYC,0,,0,,,
2026-07-14,19:14,KANEL,"Kanel Joseph",youtube,@KanelJoseph,3540000,,282554831,,,
2026-07-14,19:14,JAIDA,"Jaidabunni",youtube,@jaidabunni,143000,,3165421,,,
2026-07-14,19:14,SMOKE,"Smokecertified",youtube,@smokecertified,37,,329,,,
2026-07-14,19:14,RIZPYT,"Rizpy (YouTube)",youtube,@RizpyYT,26300,,2637901,,,
2026-07-14,20:14,STABLE,"Stable Ronaldo",twitch,stableronaldo,4785181,,,0,0,0
2026-07-14,20:14,PLAQUE,"PlaqueBoyMax",twitch,plaqueboymax,2466920,,,0,0,0
2026-07-14,20:14,WEEN,"JasonTheWeen",twitch,jasontheween,2371487,,,0,0,0
2026-07-14,20:14,SKETCH,"Sketch",twitch,thesketchreal,1695682,,,0,0,0
2026-07-14,20:14,LACY,"Lacy",twitch,lacy,2697406,,,0,0,0
2026-07-14,20:14,MARLON,"Marlon",twitch,marlon,2418611,,,0,0,0
2026-07-14,20:14,SILKY,"Silky",twitch,silky,1171541,,,0,0,0
2026-07-14,20:14,DRUM,"OfficeDrummer",twitch,officedrummer,249267,,,0,0,0
2026-07-14,20:14,CGC,"Chris Gone Crazy",twitch,chrisgonecrazy,3,,,0,0,0
2026-07-14,20:14,YUSUF,"Yusuf7n",twitch,yusuf7n,276582,,,0,0,0
2026-07-14,20:14,PINK,"s0pink",twitch,s0pink,8940,,,0,0,0
2026-07-14,20:14,MOOK,"Mookie",twitch,mookie,10993,,,0,0,0
2026-07-14,20:14,AIKOOO,"Aikooofficial",twitch,aikooofficial,7788,,,0,0,0
2026-07-14,20:14,STRAIG,"Straight2ThBank",twitch,straight2thbank,277,,,0,0,0
2026-07-14,20:14,COOLBU,"coolbutterflyyyy",twitch,coolbutterflyyyy,6442,,,0,0,0
2026-07-14,20:14,A2GUAP,"A2guapo",twitch,a2guapo,243909,,,0,0,0
2026-07-14,20:14,AVAZUR,"Avazura",twitch,avazura,34715,,,0,0,0
2026-07-14,20:14,2XCEEE,"2xceeej",twitch,2xceeej,21873,,,0,0,0
2026-07-14,20:14,ANDREW,"Andrewuhrik",twitch,andrewuhrik,13378,,,0,0,0
2026-07-14,20:14,ANGELC,"AngelCrackedU",twitch,angelcrackedu,6647,,,0,0,0
2026-07-14,20:14,AOZAMI,"Aozami",twitch,aozami,23828,,,0,0,0
2026-07-14,20:14,BENJYC,"BenjyChavez_",twitch,benjychavez_,189017,,,0,0,0
2026-07-14,20:14,BLAZIA,"Blazian",twitch,blazian,6105,,,0,0,0
2026-07-14,20:14,BONITA,"Bonita",twitch,bonita,24954,,,0,0,0
2026-07-14,20:14,BRAEDE,"Braeden",twitch,braeden,278896,,,0,0,0
2026-07-14,20:14,GIOVAN,"Giovanna Ramos",twitch,giovannaramos,0,,,0,0,0
2026-07-14,20:14,MADAIC,"Madaichakell",twitch,madaichakell,1646,,,0,0,0
2026-07-14,20:14,MADI2H,"Madi2hottyy",twitch,madi2hottyy,225289,,,0,0,0
2026-07-14,20:14,MALEK0,"Malek_04",twitch,malek_04,45411,,,0,0,0
2026-07-14,20:14,MANDOO,"MandooMillions",twitch,mandoomillions,1947,,,0,0,0
2026-07-14,20:14,MEESTE,"MeesterKeem",twitch,meesterkeem,53148,,,0,0,0
2026-07-14,20:14,MIYA,"Miya",twitch,miya,22542,,,0,0,0
2026-07-14,20:14,MYANIC,"Mya Nicole",twitch,myanicole,2,,,0,0,0
2026-07-14,20:14,NOEMI,"Noemi",twitch,noemi,154034,,,0,0,0
2026-07-14,20:14,NOTBIL,"NotBilzo",twitch,notbilzo,47842,,,0,0,0
2026-07-14,20:14,ONLYLA,"OnlyLarryKing",twitch,onlylarryking,35150,,,0,0,0
2026-07-14,20:14,PAYTON,"Payton Baeton",twitch,paytonbaeton,4,,,0,0,0
2026-07-14,20:14,PUDGIE,"Pudgie16",twitch,pudgie16,2468,,,0,0,0
2026-07-14,20:14,REEMKN,"Reemknocks",twitch,reemknocks,174852,,,0,0,0
2026-07-14,20:14,RIZPY,"RizpyYT",twitch,rizpyyt,14429,,,0,0,0
2026-07-14,20:14,RULAEM,"Rula Empire",twitch,rulaempire,135833,,,0,0,0
2026-07-14,20:14,RUNIK,"Runik",twitch,runik,2,,,0,0,0
2026-07-14,20:14,SARAHF,"Sarah Farrugia",twitch,sarahfarrugia,5914,,,0,0,0
2026-07-14,20:14,SELEOL,"Seleolu",twitch,seleolu,5977,,,0,0,0
2026-07-14,20:14,SHAZDE,"Shaz Delicious",twitch,shazdelicious,39304,,,0,0,0
2026-07-14,20:14,SIERRA,"Sierra Sprague",twitch,sierrasprague,17473,,,0,0,0
2026-07-14,20:14,SUHMMI,"SUHMMIEE",twitch,suhmmiee,9309,,,0,0,0
2026-07-14,20:14,SUKIIM,"Sukiimellow",twitch,sukiimellow,19104,,,0,0,0
2026-07-14,20:14,SUBURB,"Suburbbaby",twitch,suburbbaby,176337,,,0,0,0
2026-07-14,20:14,TAYLOR,"Taylor Jasmine",twitch,taylorjasmine,4,,,0,0,0
2026-07-14,20:14,YSABEL,"Ysabella Grace",twitch,ysabellagrace,18808,,,0,0,0
2026-07-14,20:14,COOLIT,"Coolitshawty",twitch,coolitshawty,4133,,,0,0,0
2026-07-14,20:14,CUTEGU,"CuteGunz",twitch,cutegunz,16446,,,0,0,0
2026-07-14,20:14,DAMIIL,"DamiiLive",twitch,damiilive,44313,,,0,0,0
2026-07-14,20:14,DOPEBO,"Dopeboyoli",twitch,dopeboyoli,1404,,,0,0,0
2026-07-14,20:14,E11YSA,"E11ysa",twitch,e11ysa,134685,,,0,0,0
2026-07-14,20:14,ELINAM,"Elinameng",twitch,elinameng,5209,,,0,0,0
2026-07-14,20:14,EZEE,"Ezee",twitch,ezee,32854,,,0,0,0
2026-07-14,20:14,FLAKO,"Flako",twitch,flako,58273,,,0,0,0
2026-07-14,20:14,FUMIBE,"Fumibean",twitch,fumibean,6022,,,0,0,0
2026-07-14,20:14,FTGIOO,"ftgioo",twitch,ftgioo,49012,,,0,0,0
2026-07-14,20:14,ILIKEH,"ilikehaskell",twitch,ilikehaskell,67871,,,0,0,0
2026-07-14,20:14,SHONYX,"Shonyx",twitch,shonyx,88,,,0,0,0
2026-07-14,20:14,CINNAM,"Cinnamon Roll",twitch,cinnamonroll,3,,,0,0,0
2026-07-14,20:14,THATSD,"thatsdaveontv",twitch,thatsdaveontv,147460,,,0,0,0
2026-07-14,20:14,IWASTO,"iwastori",twitch,iwastori,12821,,,0,0,0
2026-07-14,20:14,JADAMA,"Jadamalaytv",twitch,jadamalaytv,7223,,,0,0,0
2026-07-14,20:14,JAYMOM,"Jaymommy0",twitch,jaymommy0,26059,,,0,0,0
2026-07-14,20:14,JSHOCK,"Jshock9nine",twitch,jshock9nine,38002,,,0,0,0
2026-07-14,20:14,JORDYN,"Jordyn Lucas",twitch,jordynlucas,65769,,,0,0,0
2026-07-14,20:14,JUICYJ,"JuicyJacob",twitch,juicyjacob,10013,,,0,0,0
2026-07-14,20:14,KICOSM,"KiCosmic",twitch,kicosmic,2779,,,0,0,0
2026-07-14,20:14,KIIING,"KiiingJojo",twitch,kiiingjojo,6067,,,0,0,0
